call_end_date;research_area;is_approved;gender;academic_age;inst_type;previous_snsf_funding
2012-02-15;MINT;FALSE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;SSH;FALSE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;MINT;FALSE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;SSH;FALSE;Female;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;SSH;FALSE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;SSH;FALSE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;MINT;FALSE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;SSH;TRUE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;MINT;FALSE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;SSH;FALSE;Female;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;MINT;FALSE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;MINT;FALSE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;LS;FALSE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;MINT;FALSE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;SSH;FALSE;Female;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;LS;FALSE;Female;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;MINT;FALSE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;SSH;FALSE;Female;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;SSH;TRUE;Female;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;MINT;FALSE;Female;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;SSH;FALSE;Female;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;MINT;FALSE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;SSH;FALSE;Female;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;SSH;FALSE;Female;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;SSH;FALSE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;LS;FALSE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;LS;FALSE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;LS;FALSE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;MINT;FALSE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;LS;FALSE;Female;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;SSH;FALSE;Female;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;SSH;FALSE;Female;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;MINT;FALSE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;SSH;TRUE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;LS;FALSE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;SSH;TRUE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;LS;FALSE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;LS;FALSE;Female;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;SSH;FALSE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;LS;TRUE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;MINT;TRUE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;SSH;FALSE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;SSH;FALSE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;SSH;FALSE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;MINT;FALSE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;LS;TRUE;Female;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;MINT;FALSE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;SSH;FALSE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;SSH;FALSE;Female;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;LS;FALSE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;LS;FALSE;Female;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;LS;FALSE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;LS;FALSE;Female;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;MINT;FALSE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;LS;TRUE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;MINT;FALSE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;SSH;FALSE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;MINT;FALSE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;SSH;TRUE;Female;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;LS;TRUE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;LS;FALSE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;SSH;FALSE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;MINT;FALSE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;LS;TRUE;Female;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;SSH;FALSE;Female;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;MINT;FALSE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;LS;FALSE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;SSH;FALSE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;MINT;FALSE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;SSH;FALSE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;SSH;TRUE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;LS;FALSE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;MINT;FALSE;Female;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;MINT;FALSE;Female;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;SSH;FALSE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;SSH;FALSE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;LS;FALSE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;LS;TRUE;Female;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;SSH;TRUE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;SSH;FALSE;Female;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;MINT;FALSE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;LS;FALSE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;MINT;FALSE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;MINT;FALSE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;MINT;FALSE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;MINT;FALSE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;MINT;FALSE;Female;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;LS;FALSE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;MINT;FALSE;Female;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;LS;FALSE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;MINT;FALSE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;LS;FALSE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;SSH;FALSE;Female;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;MINT;FALSE;Female;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;SSH;TRUE;Female;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;LS;FALSE;Female;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;LS;FALSE;Female;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;LS;FALSE;Female;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;MINT;TRUE;Female;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;MINT;FALSE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;MINT;FALSE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;LS;FALSE;Female;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;SSH;FALSE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;LS;FALSE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;LS;FALSE;Female;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;SSH;FALSE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;SSH;FALSE;Female;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;LS;FALSE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;LS;FALSE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;LS;FALSE;Female;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;LS;FALSE;Female;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;LS;TRUE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;LS;TRUE;Female;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;MINT;FALSE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;LS;FALSE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;LS;FALSE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;MINT;TRUE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;SSH;TRUE;Female;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;SSH;FALSE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;SSH;FALSE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;SSH;FALSE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;MINT;TRUE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;MINT;TRUE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;LS;FALSE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;SSH;TRUE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;MINT;TRUE;Female;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;MINT;FALSE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;MINT;FALSE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;LS;FALSE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;MINT;FALSE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;LS;FALSE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;SSH;TRUE;Female;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;MINT;FALSE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;MINT;TRUE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;MINT;FALSE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;SSH;TRUE;Female;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;LS;FALSE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;LS;TRUE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;LS;TRUE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;LS;FALSE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;LS;FALSE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;LS;TRUE;Female;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;MINT;FALSE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;LS;FALSE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;MINT;FALSE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;MINT;TRUE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;MINT;TRUE;Female;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;SSH;FALSE;Female;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;MINT;FALSE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;MINT;FALSE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;MINT;TRUE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;LS;FALSE;Female;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;LS;FALSE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;SSH;FALSE;Female;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;MINT;FALSE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;MINT;TRUE;Female;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;LS;FALSE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;LS;FALSE;Female;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;MINT;FALSE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;MINT;FALSE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;MINT;FALSE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;MINT;FALSE;Female;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;SSH;FALSE;Female;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;MINT;FALSE;Female;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;MINT;TRUE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;LS;FALSE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;MINT;FALSE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;MINT;FALSE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;LS;FALSE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;MINT;TRUE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;SSH;FALSE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;LS;FALSE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;SSH;FALSE;Female;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;LS;FALSE;Female;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;LS;FALSE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;SSH;FALSE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;LS;FALSE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;MINT;FALSE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;MINT;FALSE;Female;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;SSH;FALSE;Female;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;SSH;FALSE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;MINT;TRUE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;MINT;FALSE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;SSH;FALSE;Female;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;LS;FALSE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;MINT;FALSE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;MINT;FALSE;Female;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;LS;FALSE;Female;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;LS;FALSE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;LS;TRUE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;MINT;FALSE;Female;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;LS;TRUE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;SSH;FALSE;Female;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;SSH;FALSE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;MINT;FALSE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;MINT;FALSE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;LS;FALSE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;LS;FALSE;Female;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;LS;FALSE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;SSH;FALSE;Female;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;MINT;TRUE;Female;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;LS;FALSE;Female;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;SSH;FALSE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;SSH;FALSE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;MINT;TRUE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;MINT;FALSE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;SSH;FALSE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;MINT;FALSE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;MINT;FALSE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;MINT;FALSE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;MINT;FALSE;Female;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;SSH;FALSE;Female;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;SSH;FALSE;Female;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;LS;FALSE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;MINT;FALSE;Female;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;MINT;FALSE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;LS;FALSE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;SSH;TRUE;Female;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;LS;FALSE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;LS;FALSE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2012-02-15;LS;FALSE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2013-02-15;LS;FALSE;Female;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2013-02-15;LS;TRUE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2013-02-15;MINT;FALSE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2013-02-15;LS;FALSE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2013-02-15;SSH;FALSE;Female;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2013-02-15;LS;FALSE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2013-02-15;LS;FALSE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2013-02-15;MINT;FALSE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2013-02-15;MINT;FALSE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2013-02-15;MINT;FALSE;Female;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2013-02-15;LS;FALSE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2013-02-15;LS;FALSE;Female;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2013-02-15;MINT;TRUE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2013-02-15;MINT;FALSE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2013-02-15;SSH;FALSE;Female;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2013-02-15;SSH;FALSE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2013-02-15;SSH;FALSE;Female;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2013-02-15;LS;FALSE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2013-02-15;MINT;FALSE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2013-02-15;SSH;FALSE;Female;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2013-02-15;SSH;FALSE;Female;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2013-02-15;SSH;FALSE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2013-02-15;MINT;FALSE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2013-02-15;LS;FALSE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2013-02-15;MINT;FALSE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2013-02-15;MINT;FALSE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2013-02-15;SSH;FALSE;Female;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2013-02-15;MINT;FALSE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2013-02-15;SSH;FALSE;Female;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2013-02-15;MINT;TRUE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2013-02-15;SSH;FALSE;Female;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2013-02-15;MINT;FALSE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2013-02-15;SSH;FALSE;Female;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2013-02-15;LS;FALSE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2013-02-15;MINT;TRUE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2013-02-15;SSH;FALSE;Female;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2013-02-15;SSH;FALSE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2013-02-15;SSH;FALSE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2013-02-15;LS;FALSE;Female;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2013-02-15;SSH;FALSE;Female;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2013-02-15;MINT;FALSE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2013-02-15;LS;FALSE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2013-02-15;MINT;TRUE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2013-02-15;MINT;TRUE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2013-02-15;MINT;TRUE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2013-02-15;MINT;FALSE;Female;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2013-02-15;SSH;FALSE;Female;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2013-02-15;MINT;FALSE;Female;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
2013-02-15;LS;TRUE;Male;DATA ON REQUEST;DATA ON REQUEST;DATA ON REQUEST
